Ident;Nazwisko;Imiê;specjalnoœæ;Region
1077;Lubacki;Marceli;4;RegB
1078;Tibacka;Blandyna;3;RegD
1079;Ksbacki;Marcjalis;4;RegB
1080;Sjbacka;Modesta;4;RegC
1081;Sfbacka;Flora;4;RegA
1082;Pdbacka;Fabia;3;RegB
1083;Fubacki;January;3;RegD
1084;Kkbacki;Tygriusz;2;RegC
1085;Mcbacki;Wenanty;2;RegC
1086;Fjbacka;Fotyna;1;RegB
1087;Eabacki;Modest;4;RegC
1088;Ctbacki;Wigiliusz;4;RegA
1089;Libacka;Wirydiana;3;RegA
1090;Utbacka;Gracja;2;RegA
1091;Okbacka;Letycja;3;RegA
1092;Libacka;Wirydiana;4;RegA
1093;Hibacka;Feliksa;2;RegB
1094;Phbacki;Matern;1;RegD
1095;Ucbacki;Pius;3;RegD
1096;Ldbacki;Bonit;4;RegC
1097;Cmbacka;Florianna;4;RegD
1098;Mfbacka;Florianna;3;RegB
1099;Webacki;Dorian;3;RegB
1100;Mmbacka;Innocencja;3;RegD
1101;Hkbacki;Walenty;1;RegC
1102;Pabacka;Augustyna;4;RegD
1103;Gabacki;Gratus;3;RegC
1104;Mobacka;Sylwestra;2;RegC
1105;Ftbacka;Lilianna;4;RegD
1106;Fhbacka;Tulia;2;RegC
1107;Uibacka;Leona;3;RegA
1108;Pbbacki;Ardalion;2;RegA
1109;Esbacki;Ursyn;3;RegB
1110;Aebacka;Lucyla;2;RegD
1111;Bnbacka;Gajana;4;RegC
1112;Fjbacki;Sekundyn;4;RegB
1113;Dkbacka;Seweryna;1;RegC
1114;Dpbacka;Hilaria;1;RegD
1115;Pnbacki;Sulpicjusz;4;RegD
1116;Uwbacka;Krystiana;3;RegB
1117;Gubacki;Maksencjusz;2;RegB
1118;Wlbacka;Auksencja;1;RegA
1119;Tgbacka;Weridiana;3;RegB
1120;Msbacka;Innocentyna;4;RegD
1121;Hfbacka;Gracja;2;RegB
1122;Rwbacki;Mariusz;4;RegB
1123;Hhbacka;Pudencjanna;1;RegA
1124;Ofbacki;Druzjan;1;RegC
1125;Fdbacki;Amat;4;RegB
1126;Flbacki;Florian;2;RegA
1127;Fgbacka;Lukrecja;2;RegB
1128;Abbacka;Pia;4;RegB
1129;Lpbacka;Fortunata;1;RegA
1130;Fhbacki;Treweriusz;1;RegD
1131;Lsbacka;Eligia;3;RegC
1132;Rnbacki;Pawe³;3;RegB
1133;Lgbacki;Scypion;4;RegA
1134;Bebacki;Fotyn;2;RegA
1135;Ufbacka;Honorata;4;RegD
1136;Rgbacka;Scholastyka;4;RegB
1137;Gwbacki;Tyberiusz;2;RegC
1138;Bobacka;Leona;3;RegA
1139;Scbacka;Rozalia;1;RegC
1140;Mnbacki;Flawiusz;3;RegB
1141;Ntbacki;Konstancjusz;3;RegD
1142;Gibacki;Waleriusz;2;RegC
1143;Dobacki;Dezyderiusz;4;RegA
1144;Ehbacki;Auksencjusz;1;RegD
1145;Oubacka;Diana;4;RegC
1146;Llbacka;Zyta;1;RegD
1147;Odbacka;Tyburcja;4;RegA
1148;Akbacka;Domna;4;RegC
1149;Whbacki;Arsacjusz;3;RegD
1150;Cibacki;Felicjan;1;RegB
1151;Tcbacki;Floryn;2;RegA
1152;Cbbacka;Florianna;1;RegA
1153;Atbacka;Leona;2;RegB
1154;Fkbacka;Perpetua;1;RegC
1155;Ggbacka;Auksencja;1;RegA
1157;Ksbacka;Leonia;2;RegD
1158;Edbacki;Oktawiusz;2;RegD
1159;Hdbacka;Florianna;3;RegA
1160;Bgbacki;Sergiusz;4;RegC
1161;Sobacka;Blandyna;1;RegD
1162;Epbacki;Klemens;3;RegC
1163;Fdbacka;Lawinia;1;RegD
1164;Lmbacka;Mamertyna;1;RegD
1165;Mebacki;Sekundyn;3;RegC
1166;Wtbacki;Napoleon;1;RegC
1167;Ulbacki;Sabinian;2;RegC
1168;Dwbacki;Tycjan;4;RegC
1169;Bdbacki;Sewer;3;RegD
1170;Pfbacka;Honoryna;1;RegB
1171;Lwbacka;Tacjana;4;RegD
1172;Nbbacka;Augustyna;2;RegB
1173;Wcbacka;Laurencja;3;RegD
1174;Mibacka;Nonna;4;RegA
1175;Wjbacka;Laurencja;3;RegB
1176;Dbbacki;£ukasz;1;RegA
1177;Kjbacki;Wiktorian;1;RegD
1178;Twbacka;Klementyna;4;RegD
1179;Fabacka;Sylwana;2;RegC
1180;Trbacka;Wera;2;RegC
1181;Hebacki;Feliks;4;RegC
1182;Wwbacki;Sylwester;1;RegA
1183;Brbacki;Awit;4;RegB
1184;Opbacki;Konstancjusz;1;RegD
1185;Fibacka;Augustyna;1;RegC
1186;Ambacka;Dalia;2;RegD
1187;Bwbacki;Aureliusz;2;RegD
1188;Lkbacki;Laurenty;4;RegC
1189;Bnbacki;Marcin;4;RegA
1190;Pebacki;Kasjusz;4;RegA
1191;Ffbacki;Sylwester;3;RegB
1192;Hkbacka;Florianna;4;RegA
1193;Babacki;Walenty;1;RegB
1194;Wdbacka;Zyta;2;RegC
1195;Ejbacki;Antonin;2;RegC
1196;Wrbacki;Flawiusz;3;RegC
1197;Tnbacka;Aurelia;1;RegA
1198;Unbacka;Romula;2;RegB
1199;Mrbacki;Druzjan;1;RegC
1200;Swbacka;Honorata;3;RegA
1201;Oibacki;Maksencjusz;4;RegD
1202;Wbbacki;Sekundyn;1;RegA
1203;Kfbacki;Kamil;3;RegD
1204;Kdbacki;Katerw;1;RegC
1205;Hnbacka;Lidia;2;RegB
1206;Hobacka;Benigna;2;RegD
1207;Dgbacki;August;3;RegB
1208;Mcbacka;Benigna;4;RegA
1209;Kibacki;Augustyn;2;RegA
1210;Ombacki;Maniusz;4;RegA
1211;Njbacka;Seweryna;3;RegD
1212;Erbacki;Cecylian;4;RegA
1213;Cwbacka;Maura;2;RegB
1214;Cgbacki;Remus;4;RegB
1215;Tpbacka;Kaja;4;RegB
1216;Pmbacki;Klaudian;3;RegA
1217;Asbacka;Wirginia;4;RegC
1218;Kwbacka;Floryna;2;RegB
1219;Wnbacki;Cecylian;2;RegC
1220;Kjbacka;Aurelia;4;RegA
1221;Dfbacki;Faust;1;RegA
1222;Grbacki;Honoriusz;3;RegA
1223;Nhbacka;Innocenta;1;RegC
1224;Spbacki;Kryspin;2;RegD
1225;Npbacki;Modest;2;RegB
1226;Kmbacka;Honorata;1;RegB
1227;Nobacki;Justyn;1;RegC
1228;Akbacki;Litoriusz;2;RegB
1229;Usbacki;August;1;RegB
1230;Wabacka;Zyta;1;RegB
1231;Ombacka;Gaja;4;RegC
1232;Scbacki;Antoni;1;RegD
1233;Wpbacki;Natalis;2;RegA
1234;Wmbacki;Fotyn;1;RegB
1235;Bfbacka;Felicyta;1;RegD
1236;Upbacka;Marcjanna;3;RegD
1237;Gpbacka;Auksencja;2;RegA
1238;Rtbacka;Beata;4;RegA
1239;Mdbacka;Bibiana;1;RegA
1240;Rrbacka;Aurelia;3;RegA
1241;Wubacka;Beata;4;RegB
1242;Labacki;Juliusz;3;RegA
1243;Labacka;Hadrianna;3;RegB
1244;Gabacka;Klaudia;2;RegC
1245;Sabacki;Juniusz;4;RegD
1246;Cgbacka;Lucja;1;RegA
1247;Ugbacki;Emilian;1;RegD
1248;Hlbacki;Marek;1;RegC
1249;Cdbacki;Barbacy;4;RegB
1250;Fpbacki;Kryspin;1;RegD
1251;Pobacka;Tulia;4;RegD
1252;Hobacki;Sergiusz;3;RegD
1253;Opbacka;Sewera;2;RegB
1254;Rabacka;Marcelina;1;RegC
1255;Otbacki;Tyburcy;4;RegB
1256;Fwbacki;Donat;4;RegA
1257;Grbacka;Klarysa;4;RegD
1258;Hgbacki;January;1;RegA
1259;Djbacka;Kancjanela;1;RegB
1260;Chbacka;Kwieta;2;RegD
1261;Apbacki;Bonet;1;RegD
1262;Mabacki;£ucjan;2;RegC
1263;Bebacka;Lukrecja;1;RegD
1264;Tobacki;Maniusz;4;RegD
1265;Sbbacki;Mamertyn;4;RegA
1266;Pcbacki;Auksencjusz;1;RegD
1267;Skbacki;Celestyn;4;RegB
1268;Lfbacki;Floryn;1;RegB
1269;Nkbacki;Tryfiliusz;4;RegC
1270;Cjbacki;Cecylian;2;RegC
1271;Nabacki;Serwacy;3;RegC
1272;Rsbacka;Gaja;2;RegC
1273;Ltbacki;Patrycjusz;2;RegB
1274;Bbbacka;Augusta;4;RegA
1275;Prbacka;Lucyla;2;RegB
1276;Pnbacka;Paula;4;RegA
1277;Adbacka;Eligia;2;RegC
1278;Habacki;Sergiusz;4;RegB
1279;Mgbacki;Auksenty;4;RegC
1280;Egbacka;Romana;1;RegD
1281;Lgbacka;Tyburcja;1;RegD
1282;Hjbacka;Wiktoria;3;RegC
1283;Etbacki;Tertulian;2;RegC
1284;Rlbacki;Dominik;2;RegA
1285;Oabacki;Honoryn;2;RegC
1286;Wibacka;Kwiryna;1;RegC
1287;Hpbacka;Modesta;2;RegC
1288;Ojbacki;Petroniusz;3;RegC
1289;Wkbacki;August;3;RegC
1290;Cebacki;Modest;2;RegC
1291;Dabacki;Natalis;3;RegB
1292;Babacka;Honoryna;3;RegD
1293;Mkbacka;Wirydiana;3;RegC
1294;Mtbacka;Wiktoria;3;RegA
1295;Wbbacka;Izaura;2;RegB
1296;Hpbacki;Mauryn;1;RegD
1297;Bobacki;Augustyn;3;RegA
1298;Wsbacka;Marcjanna;1;RegC
1299;Cmbacki;Patrycy;2;RegA
1300;Dsbacki;Fidelis;4;RegD
1301;Csbacka;Gloria;1;RegC
1302;Hibacki;Kryspin;3;RegA
1303;Lbbacka;Innocentyna;4;RegA
1304;Pabacki;Emil;4;RegC
1305;Btbacka;Emilia;4;RegC
1306;Thbacka;Galla;1;RegD
1307;Wfbacki;Honoriusz;2;RegD
1308;Klbacki;Faust;1;RegB
1309;Ejbacka;Kwiryna;3;RegA
1310;Rrbacki;Hospicjusz;1;RegB
1311;Kgbacka;Auksencja;4;RegD
1312;Cfbacki;Wenancjusz;1;RegC
1313;Ppbacki;Mamertyn;4;RegA
1314;Wibacki;Maksymilian;1;RegC
1315;Hcbacki;£ucjan;3;RegA
1316;Gdbacka;Fausta;2;RegC
1317;Ngbacki;Justyn;3;RegB
1318;Umbacki;Oktawiusz;2;RegB
1319;Ecbacka;Wiktoria;4;RegD
1320;Ewbacki;Krystian;2;RegD
1321;Pebacka;Sydonia;3;RegA
1322;Arbacki;Dorian;1;RegA
1323;Wdbacki;Aulus;3;RegD
1324;Nibacka;Pia;3;RegD
1325;Gmbacka;Wiola;3;RegC
1326;Cdbacka;Emerencja;1;RegC
1327;Nmbacki;B³a¿ej;1;RegC
1328;Bbbacki;Remigiusz;4;RegB
1329;Lpbacki;Terencjusz;4;RegC
1330;Uabacka;Wiola;4;RegD
1331;Cubacki;Justyn;3;RegC
1332;Nobacka;Lawinia;2;RegA
1333;Elbacka;Lawinia;1;RegA
1334;Wrbacka;Kandyda;3;RegC
1335;Psbacki;Oktawian;1;RegA
1336;Kgbacki;Maur;4;RegA
1337;Tbbacka;Zyta;2;RegD
1338;Bgbacka;Fawila;3;RegD
1339;Uobacki;Sabin;4;RegA
1340;Rcbacka;Tuskana;3;RegD
1341;Ulbacka;B³a¿eja;1;RegA
1342;Phbacka;Dalia;3;RegD
1343;Pcbacka;Materna;1;RegD
1344;Kwbacki;Potyt;3;RegD
1345;Onbacka;Aurelia;1;RegB
1346;Mibacki;Sewer;1;RegD
1347;Mtbacki;Hadrian;2;RegD
1348;Smbacki;Justynian;4;RegA
1349;Sdbacka;Wirginia;1;RegA
1350;Djbacki;Laurencjusz;1;RegB
1351;Fpbacka;Amadea;1;RegB
1352;Pjbacki;Gaudencjusz;3;RegB
1353;Bibacki;Floryn;3;RegA
1354;Ktbacka;Zyta;1;RegC
1355;Fwbacka;Tertulia;2;RegD
1356;Orbacki;Florentyn;1;RegB
1357;Subacki;Mauryn;4;RegC
1358;Okbacki;Sulpicjusz;3;RegB
1359;Stbacki;B³a¿ej;2;RegB
1360;Srbacka;Hilaria;4;RegB
1361;Lobacki;Lupus;2;RegC
1362;Dubacka;Paulina;1;RegA
1363;Uhbacka;Julianna;3;RegD
1364;Rjbacka;Sylwia;4;RegA
1365;Habacka;Patrycja;1;RegB
1366;Ahbacka;Fortunata;2;RegB
1367;Ojbacka;Sabina;4;RegD
1368;Cjbacka;Dominika;4;RegA
1369;Ogbacka;Juwencja;3;RegA
1370;Tobacka;Angelika;1;RegB
1371;Hdbacki;Auksencjusz;2;RegA
1372;Smbacka;Emerencja;3;RegD
1373;Fcbacki;Sylwiusz;1;RegC
1374;Hsbacka;Gloria;3;RegA
1375;Rgbacki;Hortensjusz;2;RegC
1376;Oubacki;Juniusz;1;RegA
1377;Embacki;Wincenty;3;RegD
1378;Slbacki;Romulus;3;RegA
1379;Brbacka;Dalia;3;RegA
1380;Bsbacki;Maksymilian;3;RegC
1381;Urbacki;Walerian;3;RegA
1382;Owbacki;Justynian;1;RegB
1383;Gjbacki;Konstancjusz;2;RegC
1384;Pfbacki;Kornel;1;RegB
1385;Lnbacki;Cecylian;3;RegC
1386;Shbacka;Leonia;4;RegD
1387;Ohbacki;Wiktorian;4;RegB
1388;Rbbacka;Dominika;1;RegA
1389;Mkbacki;Fotyn;4;RegD
1390;Gtbacki;Krystian;3;RegB
1391;Eobacka;Honorata;4;RegA
1392;Gmbacki;Krystian;1;RegC
1393;Embacka;Aurea;3;RegA
1394;Cpbacki;Tyberiusz;2;RegC
1395;Plbacka;Wiktoria;4;RegD
1396;Gsbacka;Amanda;4;RegC
1397;Efbacki;Maur;1;RegC
1398;Uabacki;Tytus;2;RegC
1399;Fabacki;Emilian;4;RegC
1400;Gobacka;Justyna;2;RegB
1401;Dlbacki;Sylwiusz;2;RegA
1402;Aubacki;Patrycjusz;3;RegB
1403;Fobacki;Aulus;4;RegD
1404;Etbacka;Mamertyna;2;RegC
1405;Nebacki;Konstans;3;RegA
1406;Cabacka;Kaja;4;RegB
1407;Hhbacki;Laurentyn;1;RegB
1408;Ekbacki;Marceli;2;RegC
1409;Ubbacki;Modest;4;RegC
1410;Mhbacka;Renata;2;RegD
1411;Obbacka;Weridiana;2;RegC
1412;Rkbacki;Maniusz;2;RegA
1413;Bhbacki;German;3;RegD
1414;Dcbacki;Justyn;3;RegB
1415;Albacka;Paula;3;RegC
1416;Afbacki;Dezyderiusz;1;RegB
1417;Ltbacka;Stella;1;RegB
1418;Edbacka;Felicja;3;RegA
1419;Gbbacki;Juliusz;1;RegD
1420;Fbbacki;Florentyn;1;RegD
1421;Nsbacka;Kasjana;3;RegD
1422;Hjbacki;Oktawian;4;RegC
1423;Aibacka;Fausta;4;RegB
1424;Kabacka;Izaura;3;RegB
1425;Sibacki;Roman;4;RegD
1426;Ujbacka;£ucja;2;RegB
1427;Tsbacka;Laura;3;RegC
1428;Tkbacka;Sybillina;4;RegC
1429;Pgbacka;Klementyna;4;RegA
1430;Bhbacka;Hilaria;3;RegD
1431;Rsbacki;Matern;3;RegC
1432;Dcbacka;Felicyta;2;RegA
1433;Ghbacka;Hilaria;4;RegD
1434;Pkbacka;Eligia;2;RegC
1435;Kubacki;Pawe³;4;RegC
1436;Ffbacka;Florentyna;2;RegD
1437;Kobacka;Mamertyna;2;RegB
1438;Ajbacka;Sydonia;3;RegC
1439;Dfbacka;Dominika;3;RegB
1440;Pibacka;Leontyna;4;RegD
1441;Sgbacki;Fereol;2;RegB
1442;Ljbacka;Lucyla;2;RegA
1443;Oobacki;Flawiusz;4;RegB
1444;Rhbacka;Letycja;3;RegC
1445;Cobacka;Romana;4;RegC
1446;Eabacka;Scholastyka;3;RegD
1447;Rebacki;Auksencjusz;1;RegA
1448;Nibacki;Barbacy;1;RegA
1449;Tmbacka;Felicja;4;RegD
1450;Ocbacki;Gaudenty;1;RegC
1451;Cubacka;Lucyla;1;RegC
1452;Cnbacki;Fotyn;2;RegB
1453;Cibacka;Lukrecja;2;RegD
1454;Dibacki;Florian;4;RegA
1455;Lebacka;Klaudyna;4;RegD
1456;Gebacka;Kryspina;3;RegC
1457;Ehbacka;Miranda;3;RegA
1458;Bfbacki;Tercjusz;4;RegD
1460;Ccbacka;Waleriana;1;RegD
1461;Kcbacki;Tygriusz;4;RegD
1462;Nlbacka;Bonita;4;RegA
1463;Rpbacka;Kandyda;2;RegB
1464;Lobacka;Materna;2;RegA
1465;Bubacki;Aurelian;2;RegC
1466;Bibacka;Lucyna;3;RegB
1467;Sfbacki;Tryfiliusz;1;RegC
1468;Dbbacka;Bibiana;3;RegC
1469;Hwbacka;Julita;2;RegD
1470;Ubbacka;Licynia;4;RegC
1471;Frbacka;Julita;2;RegD
1472;Epbacka;Kamila;4;RegA
1473;Crbacki;Kancjan;2;RegB
1474;Ggbacki;Laurencjusz;3;RegA
1475;Kebacki;Tuliusz;4;RegD
1476;Uwbacki;Marcjan;1;RegA
1477;Rfbacka;Nonna;3;RegD
1478;Egbacki;Antonin;3;RegC
1479;Gibacka;Lilla;2;RegB
1480;Dobacka;Potencjana;3;RegB
1481;Ebbacka;Sybillina;3;RegB
1482;Mhbacki;Antoni;2;RegB
1483;Utbacki;Walery;1;RegB
1484;Enbacki;Rufus;3;RegA
1485;Pobacki;August;3;RegC
1486;Debacki;Bonifacy;3;RegC
1487;Ohbacka;Honorata;2;RegB
1488;Tjbacka;Sylwana;1;RegC
1489;Tjbacki;Natalis;1;RegD
1490;Khbacka;Justyna;2;RegA
1491;Spbacka;Nazaria;2;RegA
1492;Tnbacki;Maniusz;2;RegA
1493;Oebacki;Lucjan;2;RegB
1494;Hrbacka;Hadrianna;4;RegA
1495;Bjbacki;Trojan;2;RegD
1497;Mpbacki;Montan;2;RegB
1498;Ptbacki;Petroniusz;4;RegA
1499;Pbbacka;Scholastyka;3;RegA
1500;Lubacka;Julianna;4;RegD
1501;Tpbacki;Tertulian;4;RegB
1502;Uibacki;Sekundyn;2;RegD
1503;Klbacka;Romula;2;RegD
1504;Cbbacki;Kancjan;4;RegA
1505;Clbacki;Kancjusz;3;RegC
1506;Cfbacka;Sewera;2;RegA
1507;Htbacka;Benigna;4;RegA
1508;Uebacka;Tarsylia;1;RegD
1509;Thbacki;Laurentyn;4;RegD
1510;Lnbacka;Nazaria;2;RegD
1511;Kabacki;Flawiusz;4;RegA
1512;Bpbacka;Florianna;2;RegB
1513;Fgbacki;Mariusz;3;RegA
1514;Agbacki;Sylwan;3;RegB
1515;Eibacki;Feliks;1;RegA
1516;Tdbacka;Kamila;4;RegD
1517;Nrbacka;Liliana;4;RegB
1518;Sobacki;Rufus;1;RegC
1519;Gjbacka;Druzjanna;2;RegC
1520;Acbacka;Pudencjanna;3;RegA
1521;Tabacka;Fotyna;2;RegC
1522;Ucbacka;Julita;4;RegA
1523;Mnbacka;Leonia;1;RegD
1524;Ukbacka;Lukrecja;3;RegD
1525;Pwbacki;Sylwan;4;RegC
1526;Dpbacki;Wenanty;2;RegB
1527;Ufbacki;Ardalion;4;RegD
1528;Febacka;£ucjana;1;RegA
1529;Agbacka;Konstantyna;1;RegD
1530;Drbacki;Antoni;4;RegA
1531;Dgbacka;Gloria;2;RegB
1532;Ttbacka;Druzjanna;4;RegA
1533;Kibacka;Flora;1;RegA
1534;Ecbacki;Wincenty;2;RegB
1535;Dnbacka;Wioleta;1;RegA
1536;Hnbacki;Barbacy;4;RegD
1537;Clbacka;Honoryna;2;RegC
1538;Tlbacka;Placyda;1;RegA
1539;Kpbacka;Placyda;4;RegB
1540;Kkbacka;Blandyna;3;RegC
1541;Awbacki;Fidelis;1;RegD
1542;Hgbacka;Oktawia;3;RegC
1543;Ssbacki;Hortensjusz;4;RegD
1544;Umbacka;Fortunata;2;RegA
1545;Mrbacka;Hadrianna;2;RegD
1546;Dnbacki;Lupus;2;RegD
1547;Ngbacka;Tarsylia;4;RegB
1548;Mbbacka;Tuskana;4;RegD
1549;Efbacka;Celina;2;RegB
1550;Owbacka;Rozalia;4;RegA
1551;Ntbacka;Nonna;3;RegD
1552;Fcbacka;Flawia;2;RegA
1553;Unbacki;Fabian;4;RegB
1554;Msbacki;Leon;1;RegD
1555;Osbacki;Sylwan;3;RegA
1556;Gkbacka;Bibiana;4;RegB
1557;Ebbacki;Tycjan;1;RegD
1558;Mlbacka;Kwieta;2;RegD
1559;Wlbacki;Lucjusz;2;RegB
1560;Khbacki;Antonin;4;RegD
1561;Usbacka;Diana;3;RegD
1562;Webacka;Julianna;2;RegD
1563;Bubacka;Klara;3;RegD
1564;Wkbacka;Nonna;1;RegB
1565;Upbacki;Rufus;1;RegB
1566;Fibacki;Augustyn;4;RegD
1567;Albacki;Floryn;4;RegA
1568;Aibacki;Modest;4;RegC
1569;Bjbacka;Kasjana;1;RegC
1570;Oebacka;Klaudia;1;RegA
1571;Dlbacka;Donata;2;RegC
1572;Gdbacki;Pawe³;4;RegC
1573;Mubacka;Dezyderia;2;RegD
1574;Osbacka;Kancjanela;3;RegD
1575;Hubacka;Pia;3;RegA
1576;Tkbacki;Cezary;4;RegA
1577;Hubacki;Tytus;4;RegC
1578;Slbacka;Hadrianna;3;RegD
1579;Ccbacki;Turybiusz;1;RegA
1580;Mjbacka;Leonia;4;RegC
1581;Pjbacka;Aurea;2;RegA
1582;Dtbacka;Ró¿a;3;RegC
1583;Bcbacka;Hilaria;2;RegA
1584;Acbacki;Montan;4;RegC
1585;Rnbacka;Gordiana;3;RegD
1586;Snbacki;Sekundyn;2;RegD
1587;Mjbacki;Wenancjusz;1;RegC
1588;Krbacki;B³a¿ej;1;RegB
1589;Dhbacka;Kaja;1;RegC
1590;Lcbacka;Hadrianna;1;RegC
1591;Ssbacka;Hortensja;2;RegA
1592;Rpbacki;Kajetan;1;RegB
1593;Ghbacki;Wiktorian;1;RegD
1594;Rmbacki;Tygriusz;2;RegA
1595;Mlbacki;Honoryn;3;RegC
1596;Lmbacki;Fereol;1;RegB
1597;Asbacki;Klemens;4;RegD
1598;Gkbacki;Sekundyn;3;RegB
1600;Bmbacki;Trojan;1;RegD
1601;Sebacki;August;1;RegB
1602;Aebacki;Bonit;1;RegD
1603;Aabacka;Kancjanela;1;RegA
1604;Wcbacki;Dacjan;4;RegC
1605;Tfbacki;Marceli;2;RegD
1606;Twbacki;Emil;2;RegB
1607;Drbacka;Juwencja;1;RegC
1608;Ogbacki;Kancjusz;2;RegD
1609;Aabacki;Tarsycjusz;3;RegA
1610;Plbacki;Honoryn;4;RegD
1611;Ctbacka;Waleria;2;RegD
1612;Lsbacki;Maksymin;2;RegB
1613;Olbacka;Fortunata;4;RegB
1614;Kfbacka;Pulcheria;4;RegB
1615;Pibacki;Sulpicjusz;1;RegD
1616;Rjbacki;Ursyn;2;RegA
1617;Gwbacka;Lidia;4;RegD
1618;Olbacki;Tarsycjusz;3;RegA
1619;Gubacka;Konstantyna;4;RegA
1620;Tcbacka;Pia;4;RegB
1621;Ppbacka;Zyta;3;RegB
1622;Wobacki;Tarcyzjusz;2;RegD
1623;Aobacka;Klarysa;2;RegC
1624;Nrbacki;Laurentyn;3;RegD
1625;Robacki;Remigiusz;3;RegB
1626;Ribacki;Oktawiusz;1;RegB
1627;Srbacki;Gawe³;3;RegC
1628;Hmbacka;Saturnina;1;RegC
1629;Rcbacki;Dorian;3;RegD
1630;Hrbacki;Juwenalis;1;RegB
1631;Blbacka;Innocencja;2;RegB
1632;Uubacka;Wioleta;4;RegC
1633;Ahbacki;Tacjan;4;RegB
1634;Uubacki;Litoriusz;2;RegA
1635;Tbbacki;Kancjan;2;RegA
1636;Nsbacki;Ursus;4;RegC
1637;Eibacka;Gajana;3;RegC
1638;Wwbacka;Stella;3;RegB
1639;Enbacka;Fotyna;2;RegB
1640;Llbacki;Maksencjusz;1;RegB
1641;Pwbacka;Sewera;4;RegA
1642;Fnbacki;Wiktor;2;RegA
1643;Bkbacka;Kandyda;2;RegC
1644;Wpbacka;Flawia;2;RegC
1645;Kmbacki;Julian;1;RegB
1646;Ajbacki;Sabin;1;RegC
1647;Mpbacka;Liwia;3;RegA
1648;Rubacka;Nazaria;4;RegC
1649;Awbacka;Gracja;1;RegA
1650;Wgbacka;Liliana;2;RegB
1651;Anbacki;Maksymilian;4;RegC
1652;Tabacki;Donat;3;RegC
1653;Njbacki;Wenancjusz;2;RegD
1654;Shbacki;Remigiusz;2;RegB
1655;Debacka;Julia;4;RegA
1656;Udbacka;Paula;1;RegC
1657;Cebacka;Tyburcja;1;RegB
1658;Kdbacka;Leontyna;4;RegC
1659;Pkbacki;Patrycjusz;3;RegC
1660;Afbacka;Dezyderia;2;RegC
1661;Oobacka;Emilia;4;RegB
